species,bto,scientific
Barn Swallow,Swallow,Hirundo rustica
Black-headed Gull,Black-headed Gull,Chroicocephalus ridibundus
Canada Goose,Canada Goose,Branta canadensis
Carrion Crow,Carrion Crow,Corvus corone
Cetti's Warbler,Cetti's Warbler,Cettia cetti
Coal Tit,Coal Tit,Periparus ater
Common Buzzard,Buzzard,Buteo buteo
Common Chaffinch,Chaffinch,Fringilla coelebs
Common Chiffchaff,Chiffchaff,Phylloscopus collybita
Common Gull,Common Gull,Larus canus
Common House-Martin,House Martin,Delichon urbicum
Common Kingfisher,Kingfisher,Alcedo atthis
Common Merganser,Goosander,Mergus merganser
Common Pochard,Pochard,Aythya ferina
Common Redshank,Redshank,Tringa totanus
Common Swift,Swift,Apus apus
Common Wood-Pigeon,Woodpigeon,Columba palumbus
Dunnock,Dunnock,Prunella modularis
Eurasian Blackbird,Blackbird,Turdus merula
Eurasian Blackcap,Blackcap,Sylvia atricapilla
Eurasian Blue Tit,Blue Tit,Cyanistes caeruleus
Eurasian Bullfinch,Bullfinch,Pyrrhula pyrrhula
Eurasian Collared-Dove,Collared Dove,Streptopelia decaocto
Eurasian Coot,Coot,Fulica atra
Eurasian Curlew,Curlew,Numenius arquata
Eurasian Green Woodpecker,Green Woodpecker,Picus viridis
Eurasian Jackdaw,Jackdaw,Corvus monedula
Eurasian Kestrel,Kestrel,Falco tinnunculus
Eurasian Linnet,Linnet,Linaria cannabina
Eurasian Magpie,Magpie,Pica pica
Eurasian Marsh-Harrier,Marsh Harrier,Circus aeruginosus
Eurasian Moorhen,Moorhen,Gallinula chloropus
Eurasian Reed Warbler,Reed Warbler,Acrocephalus scirpaceus
Eurasian Siskin,Siskin,Spinus spinus
Eurasian Skylark,Skylark,Alauda arvensis
Eurasian Sparrowhawk,Sparrowhawk,Accipiter nisus
Eurasian Treecreeper,Treecreeper,Certhia familiaris
Eurasian Wigeon,Wigeon,Mareca penelope
Eurasian Wren,Wren,Troglodytes troglodytes
European Goldfinch,Goldfinch,Carduelis carduelis
European Greenfinch,Greenfinch,Chloris chloris
European Robin,Robin,Erithacus rubecula
European Starling,Starling,Sturnus vulgaris
Gadwall,Gadwall,Mareca strepera
Goldcrest,Goldcrest,Regulus regulus
Gray Heron,Grey Heron,Ardea cinerea
Graylag Goose,Greylag Goose,Anser anser
Great Cormorant,Cormorant,Phalacrocorax carbo
Great Crested Grebe,Great Crested Grebe,Podiceps cristatus
Great Spotted Woodpecker,Great Spotted Woodpecker,Dendrocopos major
Great Tit,Great Tit,Parus major
Greater Whitethroat,Whitethroat,Curruca communis
Herring Gull,Herring Gull,Larus argentatus
House Sparrow,House Sparrow,Passer domesticus
Lesser Black-backed Gull,Lesser Black-backed Gull,Larus fuscus
Lesser Whitethroat,Lesser Whitethroat,Curruca curruca
Little Egret,Little Egret,Egretta garzetta
Little Grebe,Little Grebe,Tachybaptus ruficollis
Long-tailed Tit,Long-tailed Tit,Aegithalos caudatus
Mallard,Mallard,Anas platyrhynchos
Mistle Thrush,Mistle Thrush,Turdus viscivorus
Mute Swan,Mute Swan,Cygnus olor
Northern Lapwing,Lapwing,Vanellus vanellus
Northern Shoveler,Shoveler,Spatula clypeata
Pink-footed Goose,Pink-footed Goose,Anser brachyrhynchus
Redwing,Redwing,Turdus iliacus
Reed Bunting,Reed Bunting,Emberiza schoeniclus
Ring-necked Pheasant,Pheasant,Phasianus colchicus
Rock Pigeon,Rock Dove,Columba livia
Rook,Rook,Corvus frugilegus
Rose-ringed Parakeet,Ring-necked Parakeet,Psittacula krameri
Sedge Warbler,Sedge Warbler,Acrocephalus schoenobaenus
Song Thrush,Song Thrush,Turdus philomelos
Stock Dove,Stock Dove,Columba oenas
Tufted Duck,Tufted Duck,Aythya fuligula
Water Rail,Water Rail,Rallus aquaticus
Western Yellow Wagtail,Grey Wagtail,Motacilla flava
White Wagtail,Pied Wagtail,Motacilla cinerea
Willow Warbler,Willow Warbler,Phylloscopus trochilus