,common_name,species,genus,family,order,Avibase.ID2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,size_class,bocc5,
1,Barn Swallow,Hirundo rustica,Hirundo ,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,
2,Black-headed Gull,Chroicocephalus ridibundus,Chroicocephalus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,
3,Canada Goose,Branta canadensis,Branta,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na
4,Carrion Crow,Corvus corone,Corvus,Corvidae,Passeriformes,AVIBASE-26FB62DA,9,4,5,0,0,55.3,35.9,13.7,18.6,59.1,333.5,119.3,214,35.8,192.9,570,Dunning,NA,YES,Beak Nares,Corvus corone (sensu lato),Human Modified,3,1,Carnivore,Omnivore,Terrestrial,large,green,
5,Cetti's Warbler,Cettia cetti,Cettia,Scotocercidae,Passeriformes,AVIBASE-F3E9CE95,17,8,9,0,4,14.3,7.6,2.4,3,20.3,60.6,8.7,51.9,14.3,58.2,13.2,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Generalist,small,green,
6,Coal Tit,Periparus ater,Periparus,Paridae,Passeriformes,AVIBASE-166CD440,26,13,13,0,4,10.7,6.3,3,3.6,15.1,61.1,13.4,47.9,21.9,46.4,9.2,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,small,green,
7,Common Buzzard,Buteo buteo,Buteo,Accipitridae,Accipitriformes,AVIBASE-3C6D4915,18,6,10,2,9,35.9,22.1,12.6,16.6,75.8,383.2,147.2,237.2,38.3,214.4,759.1,Dunning,NA,NO,NA,NA,Grassland,3,2,Carnivore,Vertivore,Insessorial,large,green,
8,Common Chaffinch,Fringilla coelebs,Fringilla,Fringillidae,Passeriformes,AVIBASE-37F52281,22,11,11,0,4,14.7,9.8,5.5,6.7,17.8,85.9,23.7,62.2,27.6,65.9,23.8,Dunning,NA,NO,NA,NA,Forest,2,2,Omnivore,Invertivore,Generalist,small,green,
9,Common Chiffchaff,Phylloscopus collybita,Phylloscopus,Phylloscopidae,Passeriformes,AVIBASE-F9F4B04D,17,8,9,0,4,11.6,6,2.3,2.2,19.7,58.8,10.8,47.7,18.4,48.5,8.3,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,small,green,
10,Common Gull,Larus canus,Larus,Laridae,Charadriiformes,AVIBASE-00DA9D91,10,4,4,2,4,47.8,16.6,5.5,10.1,49.4,351,206.2,145.9,58.6,133.8,412.5,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Omnivore,Terrestrial,large,amber,
11,Common House-Martin,Delichon urbicum,Delichon,Hirundinidae,Passeriformes,AVIBASE-E4BB82F5,33,18,15,0,4,10.7,4.8,3.7,2.9,11.3,108.1,58.9,49.5,54.3,61.3,14.5,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,red,
12,Common Kingfisher,Alcedo atthis,Alcedo,Alcedinidae,Coraciiformes,AVIBASE-9505E03D,12,2,4,6,4,42.2,32.5,5.7,7.4,9.9,73.3,19.3,52.6,26.9,32.3,31.1,Dunning,NA,NO,NA,NA,Riverine,2,1,Carnivore,Aquatic predator,Insessorial,medium,green,
13,Common Merganser,Mergus merganser,Mergus ,Anatidae,Anseriformes,AVIBASE-407E2CA8,13,6,7,0,4,69.4,38.4,10.4,11.7,50.9,270.8,123.8,145.7,46,107.2,1451,Dunning,NA,NO,NA,NA,Riverine,3,3,Carnivore,Aquatic predator,Aquatic,large,green,
14,Common Pochard,Aythya ferina,Aythya,Anatidae,Anseriformes,AVIBASE-A96692E0,9,4,5,0,4,50.5,30.5,17.9,13.7,35,208.6,104.4,104.2,50.1,53.7,823,Dunning,NA,NO,NA,NA,Wetland,3,1,Herbivore,Herbivore aquatic,Aquatic,large,red,
15,Common Redshank,Tringa totanus,Tringa,Scolopacidae,Charadriiformes,AVIBASE-D6BFC73A,9,4,5,0,4,45.1,31.1,3.4,4.9,47.3,156.9,74.1,82.8,47.2,64.1,129,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,medium,amber,
16,Common Swift,Apus apus,Apus,Apodidae,Caprimulgiformes,AVIBASE-4E6EF3F9,16,9,7,0,3,10.2,4.3,4,2.8,8.8,161.3,120.2,48.1,71.6,67.4,37.6,Dunning,NA,NO,NA,NA,Human Modified,1,3,Carnivore,Invertivore,Aerial,medium,red,
17,Common Wood-Pigeon,Columba palumbus,Columba,Columbidae,Columbiformes,AVIBASE-760F307A,14,7,7,0,4,27.8,13.1,8,7.8,31.5,246.4,101.4,145,41.2,153.2,490,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Omnivore,Terrestrial,large,amber,
18,Dunnock,Prunella modularis,Prunella,Prunellidae,Passeriformes,AVIBASE-26530C86,25,7,15,3,9,14,7.8,3.7,3.6,20.4,69.1,14.7,54.5,21.2,59.6,20.2,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Invertivore,Terrestrial,small,amber,
19,Eurasian Blackbird,Turdus merula,Turdus,Turdidae,Passeriformes,AVIBASE-88BB4F2A,56,27,26,3,6,28.5,15.5,5.3,7.5,33.6,128.4,29.8,98.6,23.1,106.3,102.7,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Omnivore,Generalist,medium,green,
20,Eurasian Blackcap,Sylvia atricapilla,Sylvia,Sylviidae,Passeriformes,AVIBASE-61F9065B,21,10,11,0,4,15.2,7.2,3.2,3.4,20.8,75.9,20.5,55.4,27,62.2,16.7,Dunning,NA,NO,NA,NA,Woodland,1,3,Omnivore,Omnivore,Insessorial,small,green,
21,Eurasian Blue Tit,Cyanistes caeruleus,Cyanistes,Paridae,Passeriformes,AVIBASE-9BE53D34,17,8,9,0,4,9.7,5.8,3.2,4.2,15.2,65.6,13.8,51.8,21,51.4,11.1,Updated_literature,BoW,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,small,green,
22,Eurasian Bullfinch,Pyrrhula pyrrhula,Pyrrhula,Fringillidae,Passeriformes,AVIBASE-24764DC7,21,10,11,0,4,13.1,8.6,8.2,9,18,88.6,22.1,66.7,24.9,68.3,24.3,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Omnivore,Insessorial,small,amber,
23,Eurasian Collared-Dove,Streptopelia decaocto,Streptopelia,Columbidae,Columbiformes,AVIBASE-41FACE63,14,5,6,3,8,21.5,9.6,3.8,4.2,22.1,174.6,62.7,111.2,36.1,132.3,149,Dunning,NA,NO,NA,NA,Human Modified,3,1,Herbivore,Omnivore,Terrestrial,medium,green,
24,Eurasian Coot,Fulica atra,Fulica,Rallidae,Gruiformes,AVIBASE-B682B2A9,9,5,4,0,4,37.7,16.5,5.6,10.5,57,198.2,78.6,120,39.6,53.9,717.1,Dunning,NA,NO,NA,NA,Wetland,3,1,Herbivore,Herbivore aquatic,Generalist,large,green,
25,Eurasian Curlew,Numenius arquata,Numenius,Scolopacidae,Charadriiformes,AVIBASE-3BB5CBA6,9,4,4,1,4,145.8,122.5,8.9,9.7,82.7,292.2,155.9,137.2,53.2,111.3,803,Dunning,NA,NO,NA,NA,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,large,red,
26,Eurasian Green Woodpecker,Picus viridis,Picus,Picidae,Piciformes,AVIBASE-A01014FF,9,4,5,0,4,45,35.1,11.5,9.8,29,165.4,41,125,24.7,103,176,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Terrestrial,medium,green,
27,Eurasian Jackdaw,Corvus monedula,Corvus,Corvidae,Passeriformes,AVIBASE-D4C32F8E,33,14,19,0,6,35.2,21.4,11.2,13.3,43.3,231.1,90.5,141.3,39.1,122.4,246,Dunning,NA,NO,NA,NA,Human Modified,3,2,Omnivore,Omnivore,Terrestrial,medium,green,
28,Eurasian Kestrel,Falco tinnunculus,Falco,Falconidae,Falconiformes,AVIBASE-2DAB45B8,19,6,13,0,10,20.8,14.4,11,11.6,38.4,241.8,123.7,118.8,51,158.1,183.2,Dunning,NA,NO,NA,NA,Shrubland,3,3,Carnivore,Vertivore,Aerial,medium,amber,
29,Eurasian Linnet,Linaria cannabina,Linaria,Fringillidae,Passeriformes,AVIBASE-32635892,21,10,11,0,4,12.4,7.8,5,6.6,15.7,78.4,26.9,51.2,34.4,56.2,19.5,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Granivore,Terrestrial,small,red,
30,Eurasian Magpie,Pica pica,Pica,Corvidae,Passeriformes,AVIBASE-FBBBA943,16,8,8,0,4,40.8,26.1,12.3,14.3,47.2,193.3,42.9,150.4,22.2,242.1,217.5,Dunning,NA,NO,NA,NA,Human Modified,3,1,Omnivore,Omnivore,Terrestrial,medium,green,
31,Eurasian Marsh-Harrier,Circus aeruginosus,Circus,Accipitridae,Accipitriformes,AVIBASE-E2A19474,13,6,7,0,4,37.3,20.2,11.9,16.2,79.3,405.7,185.3,221.2,45.6,233.9,704.1,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Vertivore,Aerial,large,amber,
32,Eurasian Moorhen,Gallinula chloropus,Gallinula ,Rallidae,Gruiformes,AVIBASE-8F82FF8C,10,5,5,0,4,33.9,13.2,4.3,8.1,45.9,165.5,53,110.5,32.2,69,339.6,Dunning,NA,NO,NA,NA,Wetland,3,1,Omnivore,Omnivore,Terrestrial,medium,amber,
33,Eurasian Reed Warbler,Acrocephalus scirpaceus,Acrocephalus,Acrocephalidae,Passeriformes,AVIBASE-464D1419,17,6,11,0,4,17.4,8.8,3.4,2.8,21.7,67.1,17.4,49.9,25.8,52.2,12.3,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Invertivore,Insessorial,small,green,
34,Eurasian Siskin,Spinus spinus,Spinus,Fringillidae,Passeriformes,AVIBASE-9820CECA,22,10,12,0,4,12.8,8.3,4.5,6.1,12.7,71.6,26.1,45.5,36.5,46.4,13.2,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Insessorial,small,green,
35,Eurasian Skylark,Alauda arvensis,Alauda,Alaudidae,Passeriformes,AVIBASE-ED2AC04E,34,12,22,0,16,14.6,8.8,4.4,4.7,23.6,106.7,36,70.8,33.6,67.6,37.3,Dunning,NA,NO,NA,NA,Grassland,3,2,Omnivore,Omnivore,Terrestrial,medium,red,
36,Eurasian Sparrowhawk,Accipiter nisus,Accipiter,Accipitridae,Accipitriformes,AVIBASE-DB376A66,19,6,13,0,10,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,35.5,155.5,220.8,Dunning,NA,NO,NA,NA,Forest,1,2,Carnivore,Vertivore,Insessorial,medium,amber,
37,Eurasian Treecreeper,Certhia familiaris,Certhia,Certhiidae,Passeriformes,AVIBASE-73BE9A87,35,13,22,0,12,18.1,12.2,2,2.6,14.6,64.5,12.4,52.2,19.2,60.3,9,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,small,green,
38,Eurasian Wigeon,Mareca penelope,Mareca,Anatidae,Anseriformes,AVIBASE-15EE0D36,10,5,5,0,4,38.5,26.5,15.5,12.4,35.5,250.6,143,107.2,57.2,89.7,770,Dunning,NA,NO,NA,NA,Wetland,3,3,Herbivore,Omnivore,Terrestrial,large,amber,
39,Eurasian Wren,Troglodytes troglodytes,Troglodytes,Troglodytidae,Passeriformes,AVIBASE-AF700208,24,4,16,4,10,13.8,8.1,2.5,2.7,17.6,48.5,7.6,40.7,15.7,30.5,9.7,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,small,amber,
40,European Goldfinch,Carduelis carduelis,Carduelis,Fringillidae,Passeriformes,AVIBASE-1B235E00,30,11,19,0,12,15.4,11.2,5.5,7.2,14.7,77.4,25.8,51.6,33.4,48.6,16,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Insessorial,small,green,
41,European Greenfinch,Chloris chloris,Chloris,Fringillidae,Passeriformes,AVIBASE-65BD2033,30,14,16,0,8,14.4,11,7.6,8.8,17.3,85.3,27.8,57.4,32.5,55.7,26,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Generalist,small,red,
42,European Robin,Erithacus rubecula,Erithacus,Muscicapidae,Passeriformes,AVIBASE-C809B2B9,17,5,12,0,4,14,7,2.9,3.3,24.5,71.6,14.2,57.3,19.9,56.9,17.7,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Omnivore,Generalist,small,green,
43,European Starling,Sturnus vulgaris,Sturnus,Sturnidae,Passeriformes,AVIBASE-94A44032,28,11,17,0,10,30.2,18.5,6.6,6.5,29,128.3,49.2,79.1,38.4,65.8,77.1,Dunning,NA,NO,NA,NA,Human Modified,3,2,Omnivore,Omnivore,Insessorial,medium,red,
44,Gadwall,Mareca strepera,Mareca,Anatidae,Anseriformes,AVIBASE-C235A4D7,6,3,3,0,4,48.7,34.7,16.5,13.7,36.5,251.3,137,113,54.8,83,915.6,Dunning,NA,NO,NA,NA,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,large,amber,
45,Goldcrest,Regulus regulus,Regulus,Regulidae,Passeriformes,AVIBASE-1C51C109,23,12,11,0,6,10.6,5.7,2.2,2.1,15,52.9,11.6,41.2,22,39.3,5.5,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,small,green,
46,Gray Heron,Ardea cinerea,Ardea,Ardeidae,Pelecaniformes,AVIBASE-6429024D,13,6,7,0,4,138.9,95.5,18.7,25.4,137.9,441,152.7,287.9,34.6,169.1,1443,Dunning,NA,NO,NA,NA,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,large,green,
47,Graylag Goose,Anser anser,Anser,Anatidae,Anseriformes,AVIBASE-4AED44E8,9,4,5,0,4,61.2,31.8,22.5,21.6,76.2,435.7,204.7,229.4,47.2,136.1,3302.4,Dunning,NA,NO,NA,NA,Wetland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,amber,
48,Great Cormorant,Phalacrocorax carbo,Phalacrocorax,Phalacrocoracidae,Suliformes,AVIBASE-3DF5C587,13,6,7,0,8,82.7,57,13.2,18.3,64.2,340.2,124.2,211.7,37.1,148.2,2529,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Aquatic,large,green,
49,Great Crested Grebe,Podiceps cristatus,Podiceps,Podicipedidae,Podicipediformes,AVIBASE-8F269702,11,6,5,0,4,57.5,35.4,6.6,10.6,60.9,183.6,79,105.4,42.9,40.7,731,Dunning,NA,NO,NA,NA,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,large,green,
50,Great Spotted Woodpecker,Dendrocopos major,Dendrocopos,Picidae,Piciformes,AVIBASE-D754DB85,12,6,6,0,5,27.9,21.8,9.3,8.7,23.9,136.2,40.8,98.5,29.3,88,74.9,Dunning,NA,NO,NA,NA,Woodland,1,1,Omnivore,Omnivore,Insessorial,medium,green,
51,Great Tit,Parus major,Parus,Paridae,Passeriformes,AVIBASE-E15BC0CB,25,11,14,0,4,12.2,8.5,4.1,4.3,18.4,74.2,14,60.6,18.8,64.6,16.3,Dunning,NA,NO,NA,NA,Woodland,2,1,Omnivore,Invertivore,Insessorial,small,green,
52,Greater Whitethroat,Curruca communis,Curruca,Sylviidae,Passeriformes,AVIBASE-14AFBA82,21,10,11,0,4,13.6,7,2.8,3.3,21.3,72.6,17.6,55.1,24.2,63.3,15.1,Dunning,NA,NO,NA,NA,Shrubland,3,3,Omnivore,Invertivore,Insessorial,small,amber,
53,Herring Gull,Larus argentatus,Larus,Laridae,Charadriiformes,AVIBASE-8535345B,16,5,10,1,10,70.5,25.3,8.8,18.5,64.9,429,236.3,193.8,54.9,168.5,1091,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Generalist,large,red,
54,House Sparrow,Passer domesticus,Passer,Passeridae,Passeriformes,AVIBASE-240E3390,25,12,13,0,8,13.5,9.1,6.3,7.4,17.9,74.9,20.4,54.4,27.3,57.2,26.5,Dunning,NA,NO,NA,NA,Human Modified,3,1,Herbivore,Granivore,Terrestrial,small,red,
55,Lesser Black-backed Gull,Larus fuscus,Larus,Laridae,Charadriiformes,AVIBASE-2D52E3A5,10,4,5,1,4,62.3,23,7.9,15.8,61.5,412.2,235.5,174.5,57.4,147,762.4,Dunning,NA,NO,NA,NA,Coastal,3,2,Carnivore,Aquatic predator,Generalist,large,amber,
56,Lesser Whitethroat,Curruca curruca,Curruca,Sylviidae,Passeriformes,AVIBASE-0DCD05BE,26,9,16,1,12,12.4,6.3,2.8,3.1,19.1,65.1,14.4,50.9,22,56.9,11.4,Dunning,NA,NO,NA,NA,Shrubland,3,3,Omnivore,Invertivore,Insessorial,small,green,
57,Little Egret,Egretta garzetta,Egretta,Ardeidae,Pelecaniformes,AVIBASE-F2858F9F,6,2,3,1,4,94.6,68,8.9,11.3,98.8,252.5,82.8,167.2,33.1,94.2,312,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,medium,green,
58,Little Grebe,Tachybaptus ruficollis,Tachybaptus,Podicipedidae,Podicipediformes,AVIBASE-215FEA89,12,6,6,0,2,23.9,11.5,4.4,6.7,35.4,100,31.6,66.6,32.2,29.1,169.4,Dunning,NA,NO,NA,NA,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,medium,green,
59,Long-tailed Tit,Aegithalos caudatus,Aegithalos,Aegithalidae,Passeriformes,AVIBASE-547163C2,17,8,9,0,4,7.6,4.2,2.5,3.3,15.9,63.1,14,49.5,22,87.8,8.6,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,small,green,
60,Mallard,Anas platyrhynchos,Anas,Anatidae,Anseriformes,AVIBASE-85625D75,12,6,6,0,4,58.5,41,20.8,17.8,40.6,263.4,133.5,129.9,50.7,86.9,843.4,Dunning,NA,NO,NA,NA,Wetland,3,2,Herbivore,Herbivore aquatic,Aquatic,large,amber,
61,Mistle Thrush,Turdus viscivorus,Turdus,Turdidae,Passeriformes,AVIBASE-A95B43F1,36,14,19,3,12,26.4,14.5,5.7,6.9,32.7,153.7,53.9,99.6,35.1,111.8,117.4,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Omnivore,Insessorial,medium,red,
62,Mute Swan,Cygnus olor,Cygnus,Anatidae,Anseriformes,AVIBASE-694C127A,7,2,5,0,4,96.1,56.7,31,26.4,96.1,581.5,244.9,336.6,42.1,198.1,10682,Dunning,NA,NO,NA,NA,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,large,green,
63,Northern Lapwing,Vanellus vanellus,Vanellus,Charadriidae,Charadriiformes,AVIBASE-F029489A,13,6,7,0,4,28.1,14.9,4.6,5.5,48.3,222.5,89.1,132.9,40.2,103.2,218.4,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Omnivore,Terrestrial,medium,red,
64,Northern Shoveler,Spatula clypeata,Spatula,Anatidae,Anseriformes,AVIBASE-ED4CE8E7,8,4,4,0,4,68.8,47.9,18.6,18.7,33.8,226.4,130.2,94.2,58,75.1,612.6,Dunning,NA,NO,NA,NA,Wetland,3,3,Omnivore,Aquatic predator,Aquatic,large,amber,
65,Pink-footed Goose,Anser brachyrhynchus,Anser,Anatidae,Anseriformes,AVIBASE-AFA7EE74,5,2,3,0,4,48.9,26.2,18.7,15.2,74,432.2,210.8,217,49.3,140.6,2642,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,amber,
66,Redwing,Turdus iliacus,Turdus,Turdidae,Passeriformes,AVIBASE-A8A85BCF,25,12,13,0,4,22.7,12.2,4.4,5.5,28,116.3,37.7,79,32.3,78.3,61.2,Dunning,NA,NO,NA,NA,Forest,1,3,Omnivore,Invertivore,Insessorial,medium,amber,
67,Reed Bunting,Emberiza schoeniclus,Emberiza,Emberizidae,Passeriformes,AVIBASE-C0B97874,25,9,16,0,11,11.3,6.9,4,5.1,19.3,77.9,16.4,61.7,21.1,63.6,18.4,Dunning,NA,NO,NA,NA,Wetland,2,2,Herbivore,Omnivore,Terrestrial,small,amber,
68,Ring-necked Pheasant,Phasianus colchicus,Phasianus,Phasianidae,Galliformes,AVIBASE-4B9EEF56,14,5,9,0,8,34.9,20.8,12.5,11.9,63.4,231.6,60.4,170.9,26.1,393.1,1120.3,Dunning,NA,NO,NA,NA,Human Modified,2,1,Herbivore,Omnivore,Terrestrial,large,green,bocc5 na
69,Rock Pigeon,Columba livia,Columba,Columbidae,Columbiformes,AVIBASE-BBA263C2,12,2,8,2,10,23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,45.1,105.5,354.2,Dunning,NA,NO,NA,NA,Human Modified,3,1,Herbivore,Granivore,Terrestrial,medium,green,
70,Rook,Corvus frugilegus,Corvus,Corvidae,Passeriformes,AVIBASE-1078FFEA,36,12,24,0,10,59.5,39.1,14.8,18.3,55.7,312.3,127.8,184.2,41,166.8,452.1,Dunning,NA,NO,NA,NA,Grassland,3,1,Omnivore,Omnivore,Terrestrial,large,amber,
71,Rose-ringed Parakeet,Psittacula krameri,Psittacula,Psittaculidae,Psittaciformes,AVIBASE-6B1CFC3C,9,4,5,0,8,25.4,22.7,14.4,20.8,13.8,155.8,75.3,82.2,47.7,215.2,116.1,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Omnivore,Insessorial,medium,green,bocc5 na
72,Sedge Warbler,Acrocephalus schoenobaenus,Acrocephalus,Acrocephalidae,Passeriformes,AVIBASE-FED5AED5,17,8,9,0,4,14.9,8.2,2.9,2.8,20.9,65.4,18.4,46.9,28.2,48.9,11.8,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Invertivore,Insessorial,small,amber,
73,Song Thrush,Turdus philomelos,Turdus,Turdidae,Passeriformes,AVIBASE-D929EB21,26,12,13,1,4,23.1,11.9,5,5.7,31.8,116,35.7,80.5,30.7,81.7,67.7,Dunning,NA,NO,NA,NA,Forest,1,3,Omnivore,Invertivore,Generalist,medium,amber,
74,Stock Dove,Columba oenas,Columba,Columbidae,Columbiformes,AVIBASE-68E4C0D1,13,7,6,0,4,23.2,11.8,6.8,7.8,26.4,214.8,91.6,124.2,42.5,119.4,290.8,Dunning,NA,NO,NA,NA,Woodland,3,1,Herbivore,Omnivore,Terrestrial,medium,amber,
75,Tufted Duck,Aythya fuligula,Aythya,Anatidae,Anseriformes,AVIBASE-67CEA1C1,16,8,8,0,4,43.9,27.6,19.5,13.2,31.3,196.9,99,98.6,50.1,53.4,701.2,Dunning,NA,NO,NA,NA,Wetland,3,2,Omnivore,Herbivore aquatic,Aquatic,large,green,
76,Water Rail,Rallus aquaticus,Rallus,Rallidae,Gruiformes,AVIBASE-DE1D2DF4,13,4,9,0,9,42,27.5,3.6,6.1,38.4,114.1,34.8,79.3,30.5,51,110.7,Dunning,NA,NO,NA,NA,Wetland,1,2,Carnivore,Aquatic predator,Terrestrial,medium,green,
77,Gray Wagtail,Motacilla cinerea,Motacilla,Motacillidae,Passeriformes,AVIBASE-AE073221,17,8,9,0,4,17.4,10.8,3.1,3,18.2,82.8,28.6,54,34.6,94.4,17.2,Dunning,NA,NO,NA,NA,Riverine,3,2,Carnivore,Invertivore,Terrestrial,small,red,
78,White Wagtail,Motacilla alba,Motacilla,Motacillidae,Passeriformes,AVIBASE-400E032C,27,11,16,0,10,16.1,9.7,3.4,3.5,23.4,87,27.4,59.7,31.4,86.8,23.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Terrestrial,small,amber,
79,Willow Warbler,Phylloscopus trochilus,Phylloscopus,Phylloscopidae,Passeriformes,AVIBASE-88F4B969,28,14,13,1,7,12.8,6.6,2.6,2.6,19.3,65.9,17.1,48.8,25.9,52.3,8.7,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,small,amber,
